# Integration time (s): 0.1
# X	Y	Counts
13.0	-2.0	184893.0
11.0	-2.0	223564.0
9.0	-2.0	193922.0
7.0	-2.0	89400.0
5.0	-2.0	57377.0
3.0	-2.0	39698.0
1.0	-2.0	27696.0
-1.0	-2.0	20515.0
-1.0	0.0	14783.0
1.0	0.0	22328.0
3.0	0.0	33285.0
5.0	0.0	44755.0
7.0	0.0	61209.0
9.0	0.0	90769.0
11.0	0.0	117902.0
13.0	0.0	149251.0
15.0	0.0	168733.0
17.0	0.0	211337.0
19.0	0.0	234145.0
21.0	0.0	275396.0
23.0	0.0	247137.0
25.0	0.0	221060.0
27.0	0.0	204512.0
29.0	0.0	186954.0
29.0	2.0	334888.0
27.0	2.0	343136.0
25.0	2.0	332818.0
23.0	2.0	348577.0
21.0	2.0	358392.0
19.0	2.0	295710.0
17.0	2.0	213618.0
15.0	2.0	156257.0
13.0	2.0	116318.0
11.0	2.0	86599.0
9.0	2.0	64452.0
7.0	2.0	47252.0
5.0	2.0	33494.0
3.0	2.0	23556.0
1.0	2.0	16275.0
-1.0	2.0	10750.0
-1.0	4.0	8485.0
1.0	4.0	12401.0
3.0	4.0	17883.0
5.0	4.0	25832.0
7.0	4.0	36539.0
9.0	4.0	52131.0
11.0	4.0	71575.0
13.0	4.0	99386.0
15.0	4.0	136164.0
17.0	4.0	198960.0
19.0	4.0	292395.0
21.0	4.0	346289.0
23.0	4.0	353571.0
25.0	4.0	372213.0
27.0	4.0	436429.0
29.0	4.0	479160.0
29.0	6.0	497552.0
27.0	6.0	446984.0
25.0	6.0	386208.0
23.0	6.0	361396.0
21.0	6.0	298842.0
19.0	6.0	210467.0
17.0	6.0	146552.0
15.0	6.0	105515.0
13.0	6.0	76500.0
11.0	6.0	54365.0
9.0	6.0	38164.0
7.0	6.0	26374.0
5.0	6.0	17187.0
3.0	6.0	11799.0
1.0	6.0	8373.0
-1.0	6.0	5675.0
-1.0	8.0	4654.0
1.0	8.0	5838.0
3.0	8.0	8130.0
5.0	8.0	11779.0
7.0	8.0	17407.0
9.0	8.0	25562.0
11.0	8.0	39124.0
13.0	8.0	57040.0
15.0	8.0	78832.0
17.0	8.0	106792.0
